Year,State,fertility_rate,covid_year,religousness_rate,percent_white,percent_black,percent_hispanic,percent_asian,percent_mixed_race,poverty_measure,foreign_born,percent_bachelors_or_higher,percent_less_than_high_school,percent_high_school_or_some_college,political_ranking,latest_abortion,no_abortion_law
2021,Utah,63.6,1,757.9499999999998,0.76,0.01,0.147,0.025,0.044,8.0,8.549999999999999,0.087,0.734,0.179,0.3421052631578947,16.0,0.0
2021,Vermont,44.9,1,380.35100000000057,0.906,0.011,0.02,0.018,0.044,10.1,4.216666666666667,0.174,0.696,0.13,1.0,40.0,1.0
2021,Virginia,56.1,1,461.15099999999984,0.595,0.177,0.102,0.068,0.056,10.2,12.591666666666663,0.15,0.724,0.126,0.6842105263157894,28.0,0.0
2021,Washington,54.2,1,420.0319999999992,0.646,0.037,0.136,0.094,0.073,9.9,15.116666666666667,0.135,0.737,0.128,0.8157894736842105,40.0,1.0
2021,West Virginia,54.7,1,380.0309999999999,0.906,0.025,0.017,0.008,0.043,16.7,1.75,0.109,0.7030000000000001,0.188,0.0526315789473683,20.0,0.0
2021,Wisconsin,55.7,1,474.8979999999992,0.793,0.058,0.075,0.03,0.039,10.8,4.958333333333333,0.135,0.719,0.146,0.5789473684210527,20.0,0.0
2021,Wyoming,57.5,1,404.75599999999986,0.813,0.009,0.106,0.007,0.048,11.2,3.075,0.076,0.696,0.2279999999999999,0.0,40.0,1.0
2020,Alabama,60.6,0,636.01,0.649,0.26,0.0455,0.0135,0.0279999999999999,15.55,3.75,0.0819999999999999,0.7050000000000001,0.213,0.2368421052631578,20.0,0.0
2020,Alaska,65.7,0,351.82,0.5894999999999999,0.024,0.0685,0.065,0.094,10.65,7.4,0.104,0.6439999999999999,0.252,0.4210526315789473,40.0,1.0
2020,Arizona,54.0,0,440.66,0.5315000000000001,0.0419999999999999,0.321,0.033,0.0355,12.95,13.15,0.09,0.6990000000000001,0.211,0.5789473684210527,18.0,0.0
2020,Arkansas,60.7,0,577.64,0.702,0.148,0.0805,0.015,0.046,16.35,5.0,0.093,0.7010000000000001,0.2059999999999999,0.2368421052631578,16.0,0.0
2020,California,52.4,0,448.34,0.353,0.052,0.399,0.149,0.04,11.8,26.78333333333333,0.1159999999999999,0.734,0.15,0.9736842105263156,40.0,1.0
2020,Colorado,51.5,0,354.09,0.6655,0.037,0.22,0.0315,0.0405,9.45,9.55,0.143,0.7150000000000001,0.1419999999999999,0.7105263157894737,40.0,1.0
2020,Connecticut,49.9,0,473.71,0.6425000000000001,0.0985,0.1735,0.0465,0.0375,9.9,15.35,0.163,0.747,0.09,0.8157894736842105,28.0,0.0
2020,Delaware,57.0,0,413.57,0.6045,0.2105,0.0995,0.04,0.0425,10.9,9.583333333333334,0.121,0.694,0.185,0.7894736842105263,40.0,1.0
2020,Florida,53.4,0,470.79,0.521,0.147,0.268,0.0275,0.035,12.75,21.316666666666663,0.107,0.722,0.171,0.5526315789473684,28.0,0.0
2020,Georgia,55.7,0,507.84,0.5115000000000001,0.308,0.099,0.0419999999999999,0.0365,13.65,10.533333333333331,0.111,0.7030000000000001,0.186,0.5526315789473684,28.0,0.0
2020,Hawaii,61.1,0,414.86,0.2,0.0125,0.106,0.3845,0.1965,9.85,17.283333333333335,0.12,0.64,0.24,1.0,40.0,1.0
2020,Idaho,60.9,0,527.38,0.802,0.007,0.131,0.013,0.0385,10.95,5.916666666666667,0.072,0.6970000000000001,0.2309999999999999,0.1842105263157895,20.0,0.0
2020,Illinois,53.8,0,508.13,0.5994999999999999,0.134,0.1785,0.0565,0.0305,11.5,14.283333333333331,0.163,0.745,0.092,0.8157894736842105,40.0,1.0
2020,Indiana,59.8,0,421.4,0.7765,0.089,0.0745,0.0235,0.034,11.95,5.85,0.11,0.706,0.184,0.3684210526315789,20.0,0.0
2020,Iowa,60.4,0,448.65,0.842,0.0365,0.065,0.023,0.03,11.05,5.766666666666667,0.129,0.763,0.1079999999999999,0.4736842105263157,20.0,0.0
2020,Kansas,61.1,0,460.28,0.7455,0.051,0.1255,0.0289999999999999,0.044,11.55,7.0,0.121,0.747,0.132,0.3684210526315789,20.0,0.0
2020,Kentucky,60.8,0,494.09,0.8374999999999999,0.074,0.0375,0.0155,0.0335,16.15,3.8666666666666663,0.103,0.7230000000000001,0.1739999999999999,0.2105263157894736,20.0,0.0
2020,Louisiana,62.2,0,633.23,0.581,0.3125,0.0535,0.0175,0.0315,18.9,4.133333333333334,0.084,0.677,0.2389999999999999,0.3421052631578947,20.0,0.0
2020,Maine,49.2,0,307.94,0.916,0.014,0.0175,0.011,0.036,11.1,3.983333333333333,0.1159999999999999,0.69,0.194,0.6578947368421052,40.0,1.0
2020,Maryland,57.7,0,434.72,0.49,0.291,0.1085,0.066,0.0419999999999999,9.45,16.233333333333334,0.177,0.739,0.084,0.9736842105263156,40.0,1.0
2020,Massachusetts,47.6,0,486.4,0.6910000000000001,0.0655,0.1265,0.068,0.0475,9.7,17.5,0.207,0.759,0.034,1.0,40.0,1.0
2020,Michigan,55.6,0,396.79,0.74,0.1325,0.0545,0.032,0.0375,13.0,6.75,0.111,0.727,0.162,0.6052631578947368,40.0,1.0
2020,Minnesota,58.3,0,494.94,0.78,0.0655,0.057,0.0495,0.0395,8.649999999999999,8.433333333333334,0.161,0.771,0.0679999999999999,0.6578947368421052,40.0,1.0
2020,Mississippi,61.0,0,594.32,0.5625,0.3665,0.0305,0.009,0.027,19.35,2.1833333333333336,0.074,0.746,0.18,0.3684210526315789,13.0,0.0
2020,Missouri,58.7,0,484.08,0.781,0.109,0.0445,0.0205,0.0415,12.45,4.066666666666666,0.122,0.736,0.142,0.3684210526315789,6.0,0.0
2020,Montana,54.3,0,348.37,0.8494999999999999,0.005,0.0399999999999999,0.0075,0.041,11.8,2.25,0.102,0.681,0.217,0.3421052631578947,40.0,1.0
2020,Nebraska,64.7,0,492.77,0.7755000000000001,0.045,0.1164999999999999,0.023,0.0325,10.05,7.016666666666667,0.122,0.752,0.126,0.2894736842105263,20.0,0.0
2020,Nevada,54.8,0,416.08,0.4645,0.089,0.297,0.0845,0.0515,13.45,18.883333333333333,0.064,0.666,0.2699999999999999,0.631578947368421,40.0,1.0
2020,New Hampshire,47.7,0,272.19,0.887,0.0125,0.0409999999999999,0.0265,0.032,7.1,6.05,0.17,0.708,0.1219999999999999,0.631578947368421,40.0,1.0
2020,New Jersey,58.6,0,521.74,0.5335000000000001,0.1225,0.213,0.098,0.032,9.55,23.083333333333332,0.186,0.747,0.0669999999999999,0.7894736842105263,40.0,1.0
2020,New Mexico,54.6,0,525.13,0.3575,0.0165,0.499,0.015,0.0274999999999999,18.0,9.4,0.083,0.712,0.205,0.7105263157894737,40.0,1.0
2020,New York,54.6,0,512.22,0.5435000000000001,0.136,0.1945,0.0865,0.0375,13.05,22.616666666666667,0.1889999999999999,0.76,0.051,0.894736842105263,40.0,1.0
2020,North Carolina,56.2,0,521.46,0.619,0.203,0.099,0.03,0.038,13.4,8.416666666666666,0.129,0.73,0.141,0.5526315789473684,20.0,0.0
2020,North Dakota,67.4,0,550.19,0.834,0.0265,0.0395,0.014,0.0349999999999999,10.05,4.5,0.143,0.734,0.123,0.131578947368421,20.0,0.0
2020,Ohio,58.3,0,478.52,0.7765,0.1185,0.0414999999999999,0.0235,0.0385,13.0,4.85,0.124,0.708,0.1679999999999999,0.4736842105263157,20.0,0.0
2020,Oklahoma,61.0,0,611.75,0.6395,0.067,0.1149999999999999,0.022,0.0819999999999999,15.35,5.916666666666667,0.077,0.688,0.235,0.131578947368421,20.0,0.0
2020,Oregon,47.8,0,331.81,0.7355,0.018,0.137,0.046,0.0525,11.65,9.883333333333333,0.1159999999999999,0.732,0.152,0.763157894736842,40.0,1.0
2020,Pennsylvania,54.9,0,468.93,0.7495,0.1005,0.081,0.036,0.033,11.9,7.216666666666667,0.143,0.6910000000000001,0.1659999999999999,0.5789473684210527,40.0,1.0
2020,Rhode Island,48.7,0,515.09,0.697,0.051,0.1699999999999999,0.0315,0.0465,10.85,14.133333333333333,0.138,0.722,0.14,0.8157894736842105,28.0,0.0
2020,South Carolina,55.9,0,526.7,0.6325000000000001,0.2545,0.06,0.0165,0.0325,14.15,5.116666666666667,0.108,0.72,0.172,0.4210526315789473,20.0,0.0
2020,South Dakota,66.7,0,553.79,0.8105,0.0209999999999999,0.0385,0.0139999999999999,0.0345,11.1,3.3666666666666667,0.139,0.735,0.126,0.2105263157894736,25.0,0.0
2020,Tennessee,58.5,0,556.37,0.7295,0.1575,0.0584999999999999,0.0175,0.035,13.65,5.416666666666666,0.1169999999999999,0.6890000000000001,0.194,0.2631578947368421,4.0,0.0
2020,Texas,60.2,0,550.53,0.402,0.1155,0.402,0.051,0.027,13.85,17.066666666666666,0.11,0.7050000000000001,0.185,0.5,20.0,0.0
2020,Utah,64.1,0,760.96,0.769,0.01,0.1455,0.024,0.0355,8.6,8.5,0.087,0.734,0.179,0.3421052631578947,16.0,0.0
2020,Vermont,44.7,0,376.34,0.917,0.011,0.019,0.017,0.032,10.0,4.233333333333333,0.174,0.696,0.13,1.0,40.0,1.0
2020,Virginia,55.8,0,459.98,0.604,0.183,0.099,0.0675,0.0445,9.95,12.483333333333333,0.15,0.724,0.126,0.6842105263157894,28.0,0.0
2020,Washington,54.0,0,413.32,0.6605000000000001,0.0375,0.133,0.0915,0.0615,9.65,14.933333333333334,0.135,0.737,0.128,0.8157894736842105,40.0,1.0
2020,West Virginia,55.3,0,377.78,0.9155,0.0285,0.0155,0.008,0.0305,16.15,1.7000000000000002,0.109,0.7030000000000001,0.188,0.0526315789473683,20.0,0.0
2020,Wisconsin,55.4,0,480.44,0.802,0.06,0.073,0.03,0.0295,10.15,4.916666666666667,0.135,0.719,0.146,0.5789473684210527,20.0,0.0
2020,Wyoming,56.4,0,403.94,0.8254999999999999,0.0095,0.1035,0.0065,0.0345,10.5,3.05,0.076,0.696,0.2279999999999999,0.0,40.0,1.0
2019,Alabama,61.7,0,635.332,0.654,0.265,0.044,0.014,0.019,15.3,3.725,0.0819999999999999,0.7050000000000001,0.213,0.2368421052631578,20.0,0.0
2019,Alaska,68.1,0,350.547,0.6,0.022,0.07,0.06,0.083,10.6,7.35,0.104,0.6439999999999999,0.252,0.4210526315789473,40.0,1.0
2019,Arizona,56.7,0,433.82700000000114,0.542,0.043,0.318,0.033,0.024,13.2,13.175,0.09,0.6990000000000001,0.211,0.5789473684210527,18.0,0.0
2019,Arkansas,63.2,0,575.2399999999998,0.721,0.152,0.078,0.016,0.024,16.4,4.949999999999999,0.093,0.7010000000000001,0.2059999999999999,0.2368421052631578,16.0,0.0
2019,California,55.4,0,448.51,0.364,0.053,0.395,0.147,0.033,11.5,26.825,0.1159999999999999,0.734,0.15,0.9736842105263156,40.0,1.0
2019,Colorado,53.3,0,356.5060000000003,0.678,0.038,0.218,0.032,0.028,9.2,9.575,0.143,0.7150000000000001,0.1419999999999999,0.7105263157894737,40.0,1.0
2019,Connecticut,51.1,0,477.5650000000005,0.657,0.1,0.169,0.046,0.026,10.0,15.175,0.163,0.747,0.09,0.8157894736842105,28.0,0.0
2019,Delaware,58.7,0,413.9659999999999,0.614,0.218,0.097,0.039,0.028,10.7,9.425,0.121,0.694,0.185,0.7894736842105263,40.0,1.0
2019,Florida,56.6,0,462.84400000000096,0.53,0.15,0.266,0.027,0.024,12.5,21.125,0.107,0.722,0.171,0.5526315789473684,28.0,0.0
2019,Georgia,58.0,0,507.88699999999994,0.52,0.313,0.098,0.041,0.025,13.3,10.45,0.111,0.7030000000000001,0.186,0.5526315789473684,20.0,0.0
2019,Hawaii,63.9,0,414.687,0.204,0.012,0.103,0.394,0.184,9.1,17.375,0.12,0.64,0.24,1.0,40.0,1.0
