Year,State,fertility_rate,covid_year,religousness_rate,percent_white,percent_black,percent_hispanic,percent_asian,percent_mixed_race,poverty_measure,foreign_born,percent_bachelors_or_higher,percent_less_than_high_school,percent_high_school_or_some_college,political_ranking
2015,Florida,60.0,0,431.0599999999995,0.552,0.153,0.247,0.027,0.02,15.5,20.35833333333333,0.109,0.735,0.156,0.5526315789473684
2016,Florida,59.7,0,439.0059999999994,0.547,0.151,0.251,0.027,0.022,14.6,20.549999999999997,0.107,0.722,0.171,0.5526315789473684
2017,Florida,58.4,0,446.9519999999993,0.539,0.151,0.258,0.028,0.023,13.8,20.741666666666667,0.107,0.722,0.171,0.5526315789473684
2018,Florida,57.2,0,454.89800000000105,0.533,0.151,0.263,0.027,0.024,13.2,20.933333333333337,0.107,0.722,0.171,0.5526315789473684
2019,Florida,56.6,0,462.84400000000096,0.53,0.15,0.266,0.027,0.024,12.5,21.125,0.107,0.722,0.171,0.5526315789473684
2020,Florida,53.4,1,470.79,0.521,0.147,0.268,0.0275,0.035,12.75,21.316666666666663,0.107,0.722,0.171,0.5526315789473684
2021,Florida,54.9,0,478.7360000000008,0.512,0.144,0.27,0.028,0.046,13.0,21.508333333333333,0.107,0.722,0.171,0.5526315789473684
2022,Florida,55.6,0,486.6820000000007,0.508,0.144,0.273,0.028,0.046,12.5,21.7,0.107,0.722,0.171,0.5526315789473684
2014,Georgia,62.2,0,508.122,0.545,0.306,0.092,0.037,0.019,18.5,10.033333333333331,0.0969999999999999,0.708,0.195,0.5526315789473684
2015,Georgia,62.0,0,508.07499999999993,0.54,0.307,0.093,0.038,0.021,16.9,10.116666666666664,0.0969999999999999,0.708,0.195,0.5526315789473684
2016,Georgia,61.1,0,508.0279999999999,0.534,0.308,0.094,0.038,0.023,15.6,10.2,0.111,0.7030000000000001,0.186,0.5526315789473684
2017,Georgia,60.2,0,507.98099999999994,0.529,0.309,0.096,0.04,0.024,15.0,10.283333333333331,0.111,0.7030000000000001,0.186,0.5526315789473684
2018,Georgia,58.3,0,507.9339999999999,0.525,0.309,0.097,0.041,0.025,14.3,10.366666666666664,0.111,0.7030000000000001,0.186,0.5526315789473684
2019,Georgia,58.0,0,507.88699999999994,0.52,0.313,0.098,0.041,0.025,13.3,10.45,0.111,0.7030000000000001,0.186,0.5526315789473684
2020,Georgia,55.7,1,507.84,0.5115000000000001,0.308,0.099,0.0419999999999999,0.0365,13.65,10.533333333333331,0.111,0.7030000000000001,0.186,0.5526315789473684
2021,Georgia,55.9,0,507.7929999999999,0.503,0.303,0.1,0.043,0.048,14.0,10.616666666666664,0.111,0.7030000000000001,0.186,0.5526315789473684
2022,Georgia,56.0,0,507.7459999999999,0.498,0.306,0.104,0.044,0.047,12.5,10.7,0.111,0.7030000000000001,0.186,0.5526315789473684
2014,Hawaii,69.3,0,413.822,0.217,0.017,0.099,0.374,0.196,11.0,17.833333333333332,0.118,0.6930000000000001,0.189,1.0
2015,Hawaii,68.7,0,413.995,0.217,0.015,0.101,0.369,0.212,10.4,17.741666666666667,0.118,0.6930000000000001,0.189,1.0
